transaction_id,token_id,buyer_id,seller_id,quantity,starting_price,ending_price,total_amount_usdc,transaction_type,swap_api_reference,original_currency,status,reversal_reason,timestamp,on_chain_tx_hash,merkle_proof_hash
21,1,f3cd3b1c-0133-4578-9f85-d8ecc312263e,2d0b5472-54f6-447f-a788-6ac34ebb817f,30,1.014306,1.014973,30.439185,primary,,USD,completed,,2025-08-13,,
22,1,af3a9650-1a36-4304-911a-99ad341d6966,2d0b5472-54f6-447f-a788-6ac34ebb817f,2,1.014996,1.015019,2.030015,primary,,USD,completed,,2025-09-19,,
23,1,6456566b-cec6-46ab-a04d-0d8b08fdef8d,2d0b5472-54f6-447f-a788-6ac34ebb817f,12,1.015042,1.015295,12.182022,primary,,USD,completed,,2025-06-20,,
24,1,f5210bfb-a294-4433-a072-e1a51c5ee9c1,2d0b5472-54f6-447f-a788-6ac34ebb817f,11,1.015318,1.015548,11.169763,primary,,USD,completed,,2025-05-21,,
25,1,98479776-a739-483f-861b-dab6eaaecf58,2d0b5472-54f6-447f-a788-6ac34ebb817f,33,1.015571,1.016307,33.525987,primary,,USD,completed,,2025-07-04,,
26,1,5650f861-c687-439d-87cd-63a9b9b1bc85,2d0b5472-54f6-447f-a788-6ac34ebb817f,7,1.01633,1.016468,7.114793,primary,,USD,completed,,2025-12-29,,
27,1,6ecaa73f-4914-413f-8265-b551df56fce4,2d0b5472-54f6-447f-a788-6ac34ebb817f,19,1.016491,1.016905,19.317262,primary,,USD,completed,,2025-04-23,,
28,1,3a084ed9-7178-499b-969e-ea611891db2e,2d0b5472-54f6-447f-a788-6ac34ebb817f,14,1.016928,1.017227,14.239085,primary,,USD,completed,,2025-01-22,,
29,1,4077b55b-dd54-4846-aa39-7acc0944b84d,2d0b5472-54f6-447f-a788-6ac34ebb817f,22,1.01725,1.017733,22.384813,primary,,USD,completed,,2025-12-14,,
30,1,fcaaecd7-fa2c-434d-acf6-3264075ea24d,2d0b5472-54f6-447f-a788-6ac34ebb817f,37,1.017756,1.018584,37.67229,primary,,USD,completed,,2025-01-01,,
31,1,da89fa18-82b6-4e7c-9182-081aa4d685eb,2d0b5472-54f6-447f-a788-6ac34ebb817f,33,1.018607,1.019343,33.626175,primary,,USD,completed,,2025-03-25,,
32,1,f19f67fa-aa01-49aa-8bc2-c08022609b78,2d0b5472-54f6-447f-a788-6ac34ebb817f,3,1.019366,1.019412,3.058167,primary,,USD,completed,,2025-01-30,,
33,1,da2ee618-d778-4603-a2dd-d1d6e4831bec,2d0b5472-54f6-447f-a788-6ac34ebb817f,37,1.019435,1.020263,37.734413,primary,,USD,completed,,2025-12-14,,
34,1,0b5be83e-ad6f-478d-9369-b48168bc7f18,2d0b5472-54f6-447f-a788-6ac34ebb817f,33,1.020286,1.021022,33.681582,primary,,USD,completed,,2025-12-15,,
35,1,8f7547d3-dd3a-497d-81fc-d04ee97c3954,2d0b5472-54f6-447f-a788-6ac34ebb817f,50,1.021045,1.022172,51.080425,primary,,USD,completed,,2025-06-14,,
36,1,ccf23c36-6d96-417f-9b91-f7f803017512,2d0b5472-54f6-447f-a788-6ac34ebb817f,37,1.022195,1.023023,37.836533,primary,,USD,completed,,2025-05-07,,
37,1,c7200299-9683-4c4f-ab7f-34cec28aac6f,2d0b5472-54f6-447f-a788-6ac34ebb817f,21,1.023046,1.023506,21.488796,primary,,USD,completed,,2025-05-28,,
38,1,001d729e-faae-4821-a1a7-ca94ef582733,2d0b5472-54f6-447f-a788-6ac34ebb817f,18,1.023529,1.02392,18.427041,primary,,USD,completed,,2025-07-24,,
39,1,af469af2-bd9b-46fe-a229-3f13b38308ed,2d0b5472-54f6-447f-a788-6ac34ebb817f,14,1.023943,1.024242,14.337295,primary,,USD,completed,,2025-03-02,,
40,1,042a86c9-58fc-4072-b5ed-98c2e766ebb7,2d0b5472-54f6-447f-a788-6ac34ebb817f,4,1.024265,1.024334,4.097198,primary,,USD,completed,,2025-09-07,,
41,1,fd8341ba-4e76-428a-a7ff-b8690a95b9b0,2d0b5472-54f6-447f-a788-6ac34ebb817f,40,1.024357,1.025254,40.99222,primary,,USD,completed,,2025-02-16,,
42,1,973fd29f-2ba0-47bf-b8b6-adc9ba4a199c,2d0b5472-54f6-447f-a788-6ac34ebb817f,33,1.025277,1.026013,33.846285,primary,,USD,completed,,2025-11-17,,
43,1,da2a95d9-13b0-4a5e-b9cc-b4c67cf36e01,2d0b5472-54f6-447f-a788-6ac34ebb817f,20,1.026036,1.026473,20.52509,primary,,USD,completed,,2025-04-06,,
44,1,43f5e453-2c2b-433b-a43c-a909932bfe33,2d0b5472-54f6-447f-a788-6ac34ebb817f,23,1.026496,1.027002,23.615227,primary,,USD,completed,,2025-02-15,,
45,1,e0a32bc6-fed6-4cb4-94ae-371cb26dee9c,2d0b5472-54f6-447f-a788-6ac34ebb817f,10,1.027025,1.027232,10.271285,primary,,USD,completed,,2025-02-07,,
46,1,eaaf7403-83bc-43cb-982a-e61664f95507,2d0b5472-54f6-447f-a788-6ac34ebb817f,25,1.027255,1.027807,25.688275,primary,,USD,completed,,2025-03-30,,
47,1,faf683fd-579b-4256-8ffd-f5ace1acebdf,2d0b5472-54f6-447f-a788-6ac34ebb817f,45,1.02783,1.028842,46.27512,primary,,USD,completed,,2025-11-19,,
48,1,a36f5e71-1a0b-4d66-83c1-8de4e2205e96,2d0b5472-54f6-447f-a788-6ac34ebb817f,29,1.028865,1.029509,29.846423,primary,,USD,completed,,2025-10-07,,
49,1,d397996b-ef9d-41f5-aa2d-155d70d9b249,2d0b5472-54f6-447f-a788-6ac34ebb817f,19,1.029532,1.029946,19.565041,primary,,USD,completed,,2025-10-16,,
50,1,8ce9ce1c-3a9e-43e2-81b8-56d80ddf9617,2d0b5472-54f6-447f-a788-6ac34ebb817f,2,1.029969,1.029992,2.059961,primary,,USD,completed,,2025-09-10,,
51,1,bd8fe670-338a-4624-8df9-05ddffbbf165,2d0b5472-54f6-447f-a788-6ac34ebb817f,16,1.030015,1.03036,16.483,primary,,USD,completed,,2025-12-21,,
52,1,e1e92a41-131e-43ee-88ca-85e31c5e467a,2d0b5472-54f6-447f-a788-6ac34ebb817f,25,1.030383,1.030935,25.766475,primary,,USD,completed,,2025-05-29,,
53,1,9e2f5990-094a-4d62-8aa0-9c30730214f1,2d0b5472-54f6-447f-a788-6ac34ebb817f,16,1.030958,1.031303,16.498088,primary,,USD,completed,,2025-04-29,,
54,1,740ea331-144b-44d7-a1ba-e4cc5675e4d9,2d0b5472-54f6-447f-a788-6ac34ebb817f,5,1.031326,1.031418,5.15686,primary,,USD,completed,,2025-10-01,,
55,1,06056a53-be33-4127-99fc-9fabbd428622,2d0b5472-54f6-447f-a788-6ac34ebb817f,44,1.031441,1.03243,45.405162,primary,,USD,completed,,2025-04-11,,
56,1,85ab9b07-b68b-46c7-bb8e-7106d5338ee7,2d0b5472-54f6-447f-a788-6ac34ebb817f,48,1.032453,1.033534,49.583688,primary,,USD,completed,,2025-05-30,,
57,1,3074bb5f-3069-48fa-b5ec-c5bfdf1583c9,2d0b5472-54f6-447f-a788-6ac34ebb817f,38,1.033557,1.034408,39.291335,primary,,USD,completed,,2025-07-27,,
58,1,227c8a0f-5363-467f-bfd3-757071041ba8,2d0b5472-54f6-447f-a788-6ac34ebb817f,31,1.034431,1.035121,32.078056,primary,,USD,completed,,2025-03-10,,
59,1,a84a01c2-236d-4aec-882c-65b3a4b7512d,2d0b5472-54f6-447f-a788-6ac34ebb817f,9,1.035144,1.035328,9.317124,primary,,USD,completed,,2025-12-19,,
60,1,b01081d4-18e4-4530-a3c6-ae2c3b468e5f,2d0b5472-54f6-447f-a788-6ac34ebb817f,46,1.035351,1.036386,47.649951,primary,,USD,completed,,2025-05-09,,
61,1,9ed7544f-65c0-47ef-9d78-c2441ea4e769,2d0b5472-54f6-447f-a788-6ac34ebb817f,1,1.036409,1.036409,1.036409,primary,,USD,completed,,2025-02-26,,
62,1,7330ca10-c98f-487d-9d14-6bc6fdd01e5f,2d0b5472-54f6-447f-a788-6ac34ebb817f,15,1.036432,1.036754,15.548895,primary,,USD,completed,,2025-11-10,,
63,1,78938c00-417e-48cb-9fb3-da85d96207a8,2d0b5472-54f6-447f-a788-6ac34ebb817f,42,1.036777,1.03772,43.564437,primary,,USD,completed,,2025-02-16,,
64,1,9217721f-ed97-47aa-b726-4d4117b980cf,2d0b5472-54f6-447f-a788-6ac34ebb817f,5,1.037743,1.037835,5.188945,primary,,USD,completed,,2025-09-28,,
65,1,c96c7290-b3ff-4c71-b230-441d4c36fb47,2d0b5472-54f6-447f-a788-6ac34ebb817f,5,1.037858,1.03795,5.18952,primary,,USD,completed,,2025-07-31,,
66,1,0f2feb8d-b6e7-46e6-a5a2-337341d84530,2d0b5472-54f6-447f-a788-6ac34ebb817f,25,1.037973,1.038525,25.956225,primary,,USD,completed,,2025-12-26,,
67,1,4d7404b0-4bb0-4096-813c-707b112c7f65,2d0b5472-54f6-447f-a788-6ac34ebb817f,46,1.038548,1.039583,47.797013,primary,,USD,completed,,2025-02-03,,
68,1,743fc641-587b-47de-af10-0a64098db45c,2d0b5472-54f6-447f-a788-6ac34ebb817f,49,1.039606,1.04071,50.967742,primary,,USD,completed,,2025-06-20,,
69,1,dd862859-07c6-4677-aa39-fd562dc1758f,2d0b5472-54f6-447f-a788-6ac34ebb817f,9,1.040733,1.040917,9.367425,primary,,USD,completed,,2025-02-25,,
70,1,e89d7bbd-74ac-4e06-82be-598e96a9ee03,2d0b5472-54f6-447f-a788-6ac34ebb817f,45,1.04094,1.041952,46.86507,primary,,USD,completed,,2025-03-08,,
71,1,6f25597b-4e89-4a9b-9c80-5dd3eadafa20,2d0b5472-54f6-447f-a788-6ac34ebb817f,4,1.041975,1.042044,4.168038,primary,,USD,completed,,2025-03-18,,
72,1,53f2ff8e-f0ee-4402-8acd-030f1d1b01ae,2d0b5472-54f6-447f-a788-6ac34ebb817f,21,1.042067,1.042527,21.888237,primary,,USD,completed,,2025-02-16,,
73,1,98b140e5-55f0-4fd8-88e2-367b5e445d93,2d0b5472-54f6-447f-a788-6ac34ebb817f,38,1.04255,1.043401,39.633069,primary,,USD,completed,,2025-01-04,,
74,1,9d303dfb-a527-457b-9a81-9e256c89cade,2d0b5472-54f6-447f-a788-6ac34ebb817f,32,1.043424,1.044137,33.400976,primary,,USD,completed,,2025-01-11,,
75,1,65503d40-422d-4ba3-b167-fa0e4d6cafa6,2d0b5472-54f6-447f-a788-6ac34ebb817f,32,1.04416,1.044873,33.424528,primary,,USD,completed,,2025-11-22,,
76,1,1f2b7228-c4e8-4528-92ea-81a74e8b383e,2d0b5472-54f6-447f-a788-6ac34ebb817f,7,1.044896,1.045034,7.314755,primary,,USD,completed,,2025-01-28,,
77,1,60cd8d90-eb69-4e12-9b42-6d48eaa3917f,2d0b5472-54f6-447f-a788-6ac34ebb817f,2,1.045057,1.04508,2.090137,primary,,USD,completed,,2025-06-16,,
78,1,6011c991-6887-400e-9103-8a19eb79b4ba,2d0b5472-54f6-447f-a788-6ac34ebb817f,44,1.045103,1.046092,46.00629,primary,,USD,completed,,2025-09-09,,
79,1,11fe58e5-078f-4c21-9da4-2644ebbb4593,2d0b5472-54f6-447f-a788-6ac34ebb817f,30,1.046115,1.046782,31.393455,primary,,USD,completed,,2025-03-20,,
80,1,8e4afdc7-0299-4453-adaf-3ee4fe1674e9,2d0b5472-54f6-447f-a788-6ac34ebb817f,40,1.046805,1.047702,41.89014,primary,,USD,completed,,2025-05-10,,
81,1,6dc27f15-5412-4fed-b4dc-2e8e76966b2d,2d0b5472-54f6-447f-a788-6ac34ebb817f,23,1.047725,1.048231,24.103494,primary,,USD,completed,,2025-11-30,,
82,1,96caeb4b-51ee-4de1-885b-f8d28004ff9d,2d0b5472-54f6-447f-a788-6ac34ebb817f,5,1.048254,1.048346,5.2415,primary,,USD,completed,,2025-07-13,,
83,1,28a0498d-88e2-4aa6-bb71-053d14684575,2d0b5472-54f6-447f-a788-6ac34ebb817f,6,1.048369,1.048484,6.290559,primary,,USD,completed,,2025-10-09,,
84,1,1edeeebc-3d6b-4745-9faa-535f8bef2704,2d0b5472-54f6-447f-a788-6ac34ebb817f,15,1.048507,1.048829,15.73002,primary,,USD,completed,,2025-12-13,,
85,1,403beef7-1d4c-49aa-a3b0-5460db711a54,2d0b5472-54f6-447f-a788-6ac34ebb817f,50,1.048852,1.049979,52.470775,primary,,USD,completed,,2025-08-21,,
86,1,8bc0afc3-3a1a-454e-80ff-09a9eee81a9a,2d0b5472-54f6-447f-a788-6ac34ebb817f,35,1.050002,1.050784,36.763755,primary,,USD,completed,,2025-03-14,,
87,1,d21518c3-bd5f-44d4-a03b-7572c2c7440e,2d0b5472-54f6-447f-a788-6ac34ebb817f,46,1.050807,1.051842,48.360927,primary,,USD,completed,,2025-04-12,,
88,1,cfb41384-8eb5-4a75-b1e1-89d58359c61e,2d0b5472-54f6-447f-a788-6ac34ebb817f,46,1.051865,1.0529,48.409595,primary,,USD,completed,,2025-06-27,,
89,1,4b604557-51c1-467c-bc52-66400bf82261,2d0b5472-54f6-447f-a788-6ac34ebb817f,32,1.052923,1.053636,33.704944,primary,,USD,completed,,2025-12-05,,
90,1,279e9592-d858-48bf-b796-615659fe1c6b,2d0b5472-54f6-447f-a788-6ac34ebb817f,14,1.053659,1.053958,14.753319,primary,,USD,completed,,2025-05-30,,
91,1,519eba03-cbbc-489f-9740-e60239ca1d6e,2d0b5472-54f6-447f-a788-6ac34ebb817f,14,1.053981,1.05428,14.757827,primary,,USD,completed,,2025-07-17,,
92,1,bfb5d09f-a226-4351-8fcd-77ea38fd3a95,2d0b5472-54f6-447f-a788-6ac34ebb817f,19,1.054303,1.054717,20.03569,primary,,USD,completed,,2025-10-23,,
93,1,3293e1fd-d4ec-4e47-b735-d0568f24aa86,2d0b5472-54f6-447f-a788-6ac34ebb817f,10,1.05474,1.054947,10.548435,primary,,USD,completed,,2025-02-14,,
94,1,d38a9ca9-1433-442b-829e-8acc90840bde,2d0b5472-54f6-447f-a788-6ac34ebb817f,23,1.05497,1.055476,24.270129,primary,,USD,completed,,2025-11-26,,
95,1,a212be51-3109-428f-8c60-af66fb44179b,2d0b5472-54f6-447f-a788-6ac34ebb817f,16,1.055499,1.055844,16.890744,primary,,USD,completed,,2025-08-16,,
96,1,6bf2125d-e7b6-43e2-9fb7-96b465f195e5,2d0b5472-54f6-447f-a788-6ac34ebb817f,45,1.055867,1.056879,47.536785,primary,,USD,completed,,2025-01-04,,
97,1,bd3d7120-0b26-48af-8615-918c4cc7723f,2d0b5472-54f6-447f-a788-6ac34ebb817f,47,1.056902,1.05796,49.699257,primary,,USD,completed,,2025-04-18,,
98,1,2b25fec4-9307-476a-97c6-84f2fee131c1,2d0b5472-54f6-447f-a788-6ac34ebb817f,16,1.057983,1.058328,16.930488,primary,,USD,completed,,2025-08-24,,
99,1,aab6d197-faf8-4c08-bc08-3e3734194670,2d0b5472-54f6-447f-a788-6ac34ebb817f,14,1.058351,1.05865,14.819007,primary,,USD,completed,,2025-12-13,,
100,1,7188b274-403b-4e90-b341-b47b05382d0a,2d0b5472-54f6-447f-a788-6ac34ebb817f,14,1.058673,1.058972,14.823515,primary,,USD,completed,,2025-08-09,,
101,1,609249aa-b413-4eee-86f2-e1bf6dd67bce,2d0b5472-54f6-447f-a788-6ac34ebb817f,45,1.058995,1.060007,47.677545,primary,,USD,completed,,2025-02-20,,
102,1,7f3c83ef-71e6-48d6-bafc-53c80dd2bbfa,2d0b5472-54f6-447f-a788-6ac34ebb817f,22,1.06003,1.060513,23.325973,primary,,USD,completed,,2025-01-05,,
103,1,61579c84-d2c4-44ce-8dbe-e13432b1fee4,2d0b5472-54f6-447f-a788-6ac34ebb817f,12,1.060536,1.060789,12.72795,primary,,USD,completed,,2025-04-08,,
104,1,00c34057-06d4-4c4d-9247-83e877e326c5,2d0b5472-54f6-447f-a788-6ac34ebb817f,1,1.060812,1.060812,1.060812,primary,,USD,completed,,2025-09-25,,
105,1,6bcb26b8-237e-4a1d-a632-cfb5063dfd22,2d0b5472-54f6-447f-a788-6ac34ebb817f,15,1.060835,1.061157,15.91494,primary,,USD,completed,,2025-05-30,,
106,1,73dce126-70f7-4f6c-97d5-492797a92bda,2d0b5472-54f6-447f-a788-6ac34ebb817f,7,1.06118,1.061318,7.428743,primary,,USD,completed,,2025-10-25,,
107,1,e6534e4f-6874-4b4c-b4c3-6751c49a9865,2d0b5472-54f6-447f-a788-6ac34ebb817f,50,1.061341,1.062468,53.095225,primary,,USD,completed,,2025-08-09,,
108,1,8d002ad9-ebcd-490a-99cb-2b781a05bc3b,2d0b5472-54f6-447f-a788-6ac34ebb817f,33,1.062491,1.063227,35.074347,primary,,USD,completed,,2025-10-08,,
109,1,d2940fa7-200f-4ec9-ad7c-ece5a2764d05,2d0b5472-54f6-447f-a788-6ac34ebb817f,22,1.06325,1.063733,23.396813,primary,,USD,completed,,2025-05-16,,
110,1,7568855f-e206-4ca3-bb45-957115aa7e66,2d0b5472-54f6-447f-a788-6ac34ebb817f,18,1.063756,1.064147,19.151127,primary,,USD,completed,,2025-02-16,,
111,1,c60353ac-73b7-4384-8580-b68d133dbcf1,2d0b5472-54f6-447f-a788-6ac34ebb817f,18,1.06417,1.064561,19.158579,primary,,USD,completed,,2025-10-02,,
112,1,15d90f2e-6993-4c6d-a286-164e7eaab1f9,2d0b5472-54f6-447f-a788-6ac34ebb817f,2,1.064584,1.064607,2.129191,primary,,USD,completed,,2025-10-01,,
113,1,eaf9fff4-5930-4c2e-9fe9-4cb16b2a6c0f,2d0b5472-54f6-447f-a788-6ac34ebb817f,12,1.06463,1.064883,12.777078,primary,,USD,completed,,2025-06-19,,
114,1,3d3f9feb-a2ad-4ecb-b195-ec5218c51d39,2d0b5472-54f6-447f-a788-6ac34ebb817f,1,1.064906,1.064906,1.064906,primary,,USD,completed,,2025-05-19,,
115,1,bdb30ec9-732c-4efc-9d96-d3a409c11737,2d0b5472-54f6-447f-a788-6ac34ebb817f,42,1.064929,1.065872,44.746821,primary,,USD,completed,,2025-03-01,,
116,1,7da371f6-caae-453c-a496-78973481e079,2d0b5472-54f6-447f-a788-6ac34ebb817f,30,1.065895,1.066562,31.986855,primary,,USD,completed,,2025-11-14,,
117,1,8101ebe6-104b-414e-b7e3-9689b2954b75,2d0b5472-54f6-447f-a788-6ac34ebb817f,50,1.066585,1.067712,53.357425,primary,,USD,completed,,2025-07-22,,
118,1,ae01f6ff-d2fd-46aa-838a-87b371212e2c,2d0b5472-54f6-447f-a788-6ac34ebb817f,50,1.067735,1.068862,53.414925,primary,,USD,completed,,2025-09-12,,
119,1,a3f21d58-2f10-4e9e-a24b-3aade67c3191,2d0b5472-54f6-447f-a788-6ac34ebb817f,49,1.068885,1.069989,52.402413,primary,,USD,completed,,2025-02-11,,
120,1,1289b889-1d9e-432c-8364-efdcdb0470c2,2d0b5472-54f6-447f-a788-6ac34ebb817f,41,1.070012,1.070932,43.889352,primary,,USD,completed,,2025-05-13,,
121,1,34dfecb9-1dab-489c-812f-8a726c991dcb,2d0b5472-54f6-447f-a788-6ac34ebb817f,34,1.070955,1.071714,36.425373,primary,,USD,completed,,2025-06-06,,
122,1,5f44eb5a-6c49-447d-a40d-345aa2669660,2d0b5472-54f6-447f-a788-6ac34ebb817f,20,1.071737,1.072174,21.43911,primary,,USD,completed,,2025-10-11,,
123,1,40af94b8-3a0f-41a9-9d88-bdd17545506c,2d0b5472-54f6-447f-a788-6ac34ebb817f,27,1.072197,1.072795,28.957392,primary,,USD,completed,,2025-07-05,,
124,1,3ff6e12d-54b2-416f-8be6-6e99ec9836a3,2d0b5472-54f6-447f-a788-6ac34ebb817f,4,1.072818,1.072887,4.29141,primary,,USD,completed,,2025-07-16,,
125,1,f33db6a2-d128-4385-8adc-7bdbfde272a1,2d0b5472-54f6-447f-a788-6ac34ebb817f,40,1.07291,1.073807,42.93434,primary,,USD,completed,,2025-11-04,,
126,1,cff329ac-f12e-45f2-9380-00f5b042b77c,2d0b5472-54f6-447f-a788-6ac34ebb817f,41,1.07383,1.07475,44.04589,primary,,USD,completed,,2025-03-01,,
127,1,ace63143-6646-442e-b7f0-1fae3481e190,2d0b5472-54f6-447f-a788-6ac34ebb817f,25,1.074773,1.075325,26.876225,primary,,USD,completed,,2025-06-26,,
128,1,faf683fd-579b-4256-8ffd-f5ace1acebdf,2d0b5472-54f6-447f-a788-6ac34ebb817f,43,1.075348,1.076314,46.260733,primary,,USD,completed,,2025-07-01,,
129,1,8d719d77-5b9a-4eac-b0e6-9794720b6767,2d0b5472-54f6-447f-a788-6ac34ebb817f,11,1.076337,1.076567,11.840972,primary,,USD,completed,,2025-07-06,,
130,1,ff9d4120-163e-447d-bff9-4f3ebd1fe062,2d0b5472-54f6-447f-a788-6ac34ebb817f,44,1.07659,1.077579,47.391718,primary,,USD,completed,,2025-12-04,,
131,1,78d535fd-ecda-40c0-b084-43a7a14be411,2d0b5472-54f6-447f-a788-6ac34ebb817f,17,1.077602,1.07797,18.322362,primary,,USD,completed,,2025-06-03,,
132,1,99b7a023-ebb7-4596-9009-16dcd4dc7f94,2d0b5472-54f6-447f-a788-6ac34ebb817f,22,1.077993,1.078476,23.721159,primary,,USD,completed,,2025-01-26,,
133,1,fe16cc8e-83ef-4242-a19b-71968aeb0fde,2d0b5472-54f6-447f-a788-6ac34ebb817f,6,1.078499,1.078614,6.471339,primary,,USD,completed,,2025-03-15,,
134,1,863bde07-16e7-40ad-bf97-0ecaf14bcac0,2d0b5472-54f6-447f-a788-6ac34ebb817f,42,1.078637,1.07958,45.322557,primary,,USD,completed,,2025-04-13,,
135,1,1a89ed35-0ca0-4b03-936b-e2b0faa53361,2d0b5472-54f6-447f-a788-6ac34ebb817f,35,1.079603,1.080385,37.79979,primary,,USD,completed,,2025-03-14,,
136,1,796c8bf8-9595-4928-8634-77232f3a6638,2d0b5472-54f6-447f-a788-6ac34ebb817f,7,1.080408,1.080546,7.563339,primary,,USD,completed,,2025-03-22,,
137,1,a7d0f8e2-d6df-4953-a0c7-81b975aca52e,2d0b5472-54f6-447f-a788-6ac34ebb817f,50,1.080569,1.081696,54.056625,primary,,USD,completed,,2025-05-02,,
138,1,e88bab34-4b2e-48ff-a5dd-a14d1d0556b4,2d0b5472-54f6-447f-a788-6ac34ebb817f,48,1.081719,1.0828,51.948456,primary,,USD,completed,,2025-11-16,,
139,1,4b8801f5-60d3-4c18-80b9-7b4875818d49,2d0b5472-54f6-447f-a788-6ac34ebb817f,45,1.082823,1.083835,48.749805,primary,,USD,completed,,2025-08-30,,
140,1,5ab32ad0-0ad3-47a1-9600-f2275adb0132,2d0b5472-54f6-447f-a788-6ac34ebb817f,12,1.083858,1.084111,13.007814,primary,,USD,completed,,2025-08-21,,
141,1,d0b7153b-9bc5-4fe0-b78a-0b14fa476a39,2d0b5472-54f6-447f-a788-6ac34ebb817f,48,1.084134,1.085215,52.064376,primary,,USD,completed,,2025-03-09,,
142,1,f59593ec-f746-4290-aebd-e818c5f69318,2d0b5472-54f6-447f-a788-6ac34ebb817f,32,1.085238,1.085951,34.739024,primary,,USD,completed,,2025-01-29,,
143,1,8b290547-abb8-4e52-8db4-4efbd38bde8a,2d0b5472-54f6-447f-a788-6ac34ebb817f,35,1.085974,1.086756,38.022775,primary,,USD,completed,,2025-12-20,,
144,1,7202a17d-f9db-4d7b-91d9-f9bcc1b54758,2d0b5472-54f6-447f-a788-6ac34ebb817f,24,1.086779,1.087308,26.089044,primary,,USD,completed,,2025-08-15,,
145,1,682570ea-70f1-4129-b251-a9c26a780338,2d0b5472-54f6-447f-a788-6ac34ebb817f,16,1.087331,1.087676,17.400056,primary,,USD,completed,,2025-07-12,,
